analysis_id,j3lkt3x7e7g7lwn
parameter_id,IMPC_GEL_060_001
pvalue,0.8004996
gene_symbol,Cpa3
mouse_strain,C57BL
gene_accession_id,MGI:88479
parameter_name,Neural tube morphology
mouse_life_stage,Early adult
