parameter_name,Total T cell percentage
pvalue,0.5369106
parameter_id,MGP_PBI_001_001
analysis_id,40c4t9u11l69849
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:88461
gene_symbol,Col6a3
