parameter_name,Triglycerides
gene_symbol,Zyg11b
parameter_id,HMGULA_CBC_017_001
mouse_strain,C57BL
gene_accession_id,MGI:2685277
pvalue,0.1429006
analysis_id,6z40572qog2ky66
mouse_life_stage,E18.5
