analysis_id,wgs7e42b4ry3zo6
gene_symbol,Mapkap1
mouse_life_stage,Early adult
parameter_id,HRWLLA_OFD_017_001
pvalue,0.4949931
gene_accession_id,MGI:2444554
mouse_strain,C57BL
parameter_name,Center average speed
