analysis_id,g28w12945z12i5a
pvalue,0.4433103
gene_accession_id,MGI:109585
mouse_strain,C57BL
parameter_name,T cells - % of CD45+
mouse_life_stage,Early adult
gene_symbol,Pld1
parameter_id,MGP_BMI_019_001
