analysis_id,a2907f06849d593
mouse_life_stage,Middle aged adult
gene_symbol,Hpca
gene_accession_id,MGI:1336200
mouse_strain,C57BL
pvalue,0.2723253
parameter_name,Total cholesterol
parameter_id,JAXLA_CBC_015_001
