analysis_id,3b72m7w2iem6eu5
parameter_id,IMPC_DXA_008_001
gene_symbol,Secisbp2l
parameter_name,Lean/Body weight
mouse_strain,C57BL
gene_accession_id,MGI:1917604
mouse_life_stage,Late adult
pvalue,0.5954193
