analysis_id,8nj433cha562us3
gene_symbol,Ivd
mouse_strain,C57BL
parameter_name,Cholesterol ratio
gene_accession_id,MGI:1929242
pvalue,0.1139122
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_058_001
