gene_symbol,Zyg11b
analysis_id,89f9cs7v2k1wtwq
pvalue,0.1096185
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
gene_accession_id,MGI:2685277
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_IMM_006_001
