analysis_id,y04m8o52s871g64
mouse_life_stage,Early adult
gene_symbol,Rab13
pvalue,0.1102012
gene_accession_id,MGI:1927232
parameter_id,HRWLLA_DXA_007_001
parameter_name,BMC/Body weight
mouse_strain,C57BL
