analysis_id,k287jj963wm12rf
parameter_name,Effector Treg cells - % of Treg
mouse_life_stage,Early adult
gene_symbol,Ssr2
parameter_id,MGP_MLN_009_001
gene_accession_id,MGI:1913506
mouse_strain,C57BL
pvalue,0.566008
