parameter_name,Gait
pvalue,0.7313483
analysis_id,n2757x1fw6ekp7d
gene_accession_id,MGI:1913405
parameter_id,IMPC_CSD_033_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Ufc1
