parameter_name,Lean/Body weight
pvalue,0.1749178
mouse_life_stage,Late adult
parameter_id,ESLIM_005_001_702
analysis_id,7is532ou4593i04
gene_accession_id,MGI:109356
mouse_strain,C57BL
gene_symbol,Snap23
