gene_symbol,Cldn19
analysis_id,2l9xw89k8c0oluy
parameter_id,JAX_OFD_017_001
pvalue,0.4772153
parameter_name,Center average speed
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:3033992
