gene_symbol,Morn5
pvalue,0.2244275
gene_accession_id,MGI:1922745
mouse_strain,C57BL
parameter_id,HRWLLA_FEA_015_001
parameter_name,Cue Baseline % Freezing Time
analysis_id,e2noex49pb8qx44
mouse_life_stage,Early adult
