analysis_id,3nc869pc3n2m778
pvalue,0.8439732
mouse_life_stage,E12.5
parameter_id,IMPC_DXA_004_001
gene_accession_id,MGI:1915087
parameter_name,Bone Mineral Density (excluding skull)
gene_symbol,Tiprl
mouse_strain,C57BL
