gene_symbol,Snap23
gene_accession_id,MGI:109356
mouse_life_stage,Middle aged adult
parameter_name,Fasted blood glucose concentration
analysis_id,zu5v5z61q3fyxks
pvalue,0.2982041
mouse_strain,C57BL
parameter_id,IMPC_IPG_010_001
