parameter_name,Pericardium Morphology
gene_symbol,Cntfr
parameter_id,IMPC_GEL_006_001
analysis_id,xyi3136q385pfmm
gene_accession_id,MGI:99605
mouse_strain,129SV
pvalue,0.5581649
mouse_life_stage,Early adult
