parameter_name,Thoracic processes
parameter_id,IMPC_XRY_064_001
analysis_id,8mfcxknn087xw33
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.4313251
gene_symbol,Zfp683
gene_accession_id,MGI:3650254
