parameter_name,Prepulse inhibition - PP2
mouse_strain,129SV
gene_symbol,Cds2
analysis_id,p9i3q551toe7m6w
parameter_id,ESLIM_011_001_702
pvalue,0.2586154
gene_accession_id,MGI:1332236
mouse_life_stage,Early adult
