parameter_id,M-G-P_005_001_001
parameter_name,Weight
gene_symbol,Arpc5l
gene_accession_id,MGI:1921442
pvalue,0.4418073
analysis_id,gp21r67p0nk9308
mouse_strain,C57BL
mouse_life_stage,Early adult
