parameter_name,Shape of ribcage
mouse_strain,C57BL
pvalue,0.2779281
gene_symbol,Trpa1
gene_accession_id,MGI:3522699
analysis_id,xqa54hj1ws27ar9
parameter_id,IMPC_XRY_059_001
mouse_life_stage,Early adult
