parameter_name,Respiration Rate
mouse_strain,C57BL
gene_accession_id,MGI:2444554
mouse_life_stage,E12.5
pvalue,0.9253913
analysis_id,n87t68er7jg8u56
parameter_id,IMPC_ECH_018_001
gene_symbol,Mapkap1
