analysis_id,z743n0jrrg7o9j9
gene_symbol,Sgip1
pvalue,0.8580827
parameter_name,Neutrophil cell count
gene_accession_id,MGI:1920344
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_030_001
mouse_strain,C57BL
