analysis_id,2xv11862czx5358
gene_accession_id,MGI:1919949
pvalue,0.7165741
parameter_name,IgD+ mature B cell percentage
parameter_id,MGP_PBI_015_001
mouse_strain,C57BL
gene_symbol,Lime1
mouse_life_stage,Early adult
