parameter_name,Cholesterol ratio
mouse_strain,C57BL
analysis_id,h6746u1c0g6m89l
pvalue,0.2051974
gene_symbol,Abo
parameter_id,IMPC_CBC_058_001
mouse_life_stage,Early adult
gene_accession_id,MGI:2135738
