parameter_name,B Cells
pvalue,0.9041226
mouse_strain,C57BL
parameter_id,IMPC_IMM_063_001
gene_symbol,Ncaph
gene_accession_id,MGI:2444777
mouse_life_stage,Early adult
analysis_id,22yd796f35remkj
