parameter_name,Haemoglobin
analysis_id,l5h71p7gvd0139w
parameter_id,ESLIM_016_001_003
gene_symbol,Sla2
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.5697466
gene_accession_id,MGI:1925049
