analysis_id,55gt7si1jb079f2
mouse_strain,C57BL
parameter_name,KLRG1+ CD4- NKT cells - % of CD4- NKT cells
pvalue,0.5613969
gene_accession_id,MGI:97838
mouse_life_stage,Early adult
parameter_id,MGP_IMM_028_001
gene_symbol,Eprs1
