analysis_id,2fcp21yj802fpin
mouse_strain,C57BL
pvalue,0.2355026
gene_symbol,Tbl1xr1
parameter_name,White blood cell count
mouse_life_stage,Late adult
gene_accession_id,MGI:2441730
parameter_id,IMPC_HEM_001_001
