Parameter_id,IMPC_IMM_050_001
Parameter_name,Neutrophils
Gene_accession_id,MGI:1929242
Mouse_strain,C59BL
Mouse_life_stage,Early adult
Pvalue,0.5532816
Gene_symbol,Ivd
Analysis_id,533vqzr033hg2rn
