analysis_id,52q358g6k86q56u
mouse_life_stage,Early adult
pvalue,0.3944284
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
gene_accession_id,MGI:2446274
mouse_strain,C57BL
gene_symbol,Frmpd1
parameter_id,MGP_IMM_006_001
