parameter_id,ICS_FEA_019_001
mouse_life_stage,E12.5
gene_accession_id,MGI:87968
analysis_id,5bk6282dl2os4q5
gene_symbol,Ahcy
pvalue,0.1521321
parameter_name,% Freezing duration pre-cue-2
mouse_strain,C57BL
