parameter_name,Eye
gene_symbol,Zc2hc1a
parameter_id,M-G-P_014_001_001
mouse_life_stage,Early adult
pvalue,0.9604706
gene_accession_id,MGI:1914556
analysis_id,vo7g721h88b1z17
mouse_strain,C57BL
