parameter_name,Average duration
analysis_id,xs37c65vr8w38u5
parameter_id,JAX_ROT_002_001
gene_symbol,Bpifa3
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.9121915
gene_accession_id,MGI:1920638
