parameter_name,PQ
mouse_strain,129SV
gene_accession_id,MGI:1332236
analysis_id,pmywf7ltm173229
mouse_life_stage,Early adult
parameter_id,IMPC_ECG_005_001
gene_symbol,Cds2
pvalue,0.7174686
