gene_symbol,Dmap1
analysis_id,66764q0i2jm903d
parameter_name,Follicular B cells - % of CD45+
mouse_life_stage,E9.5
gene_accession_id,MGI:1913483
mouse_strain,C57BL
parameter_id,MGP_IMM_112_001
pvalue,0.1627123
