analysis_id,5xe1u3st05gqnx2
parameter_id,MGP_MLN_032_001
mouse_life_stage,E9.5
parameter_name,Effector NK cells - % of NK cells
mouse_strain,C57BL
pvalue,0.3033323
gene_symbol,Ahcy
gene_accession_id,MGI:87968
