gene_symbol,Ubxn11
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1914836
analysis_id,t580n1pz26t2wbx
parameter_name,Creatinine
pvalue,0.6504063
parameter_id,IMPC_CBC_005_001
