analysis_id,6wdswy82450427t
gene_accession_id,MGI:1860103
parameter_id,IMPC_IMM_025_001
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.8442412
parameter_name,DN CD25- NKT cells
gene_symbol,Slc2a8
