analysis_id,2hy91m40wb1utcr
mouse_strain,C57BL
gene_accession_id,MGI:1914050
parameter_id,IMPC_IMM_004_001
pvalue,0.9936112
parameter_name,NKT cells (panel A)
gene_symbol,Trp53rkb
mouse_life_stage,Early adult
