parameter_name,Pericardium Morphology
gene_accession_id,MGI:1918764
gene_symbol,Sfpq
analysis_id,632oi65409a4jdp
parameter_id,IMPC_GEL_006_001
mouse_strain,C57BL
pvalue,0.2784342
mouse_life_stage,Early adult
