gene_symbol,Rhbg
pvalue,0.6924752
parameter_id,IMPC_ACS_033_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1927379
analysis_id,kn9q4t5508i14w0
parameter_name,% Pre-pulse inhibition - PPI1
mouse_strain,C57BL
