parameter_name,Narrow eye opening
parameter_id,IMPC_EYE_006_001
gene_symbol,Casq1
mouse_life_stage,Early adult
analysis_id,5802250wu985p16
pvalue,0.6616245
gene_accession_id,MGI:1309468
mouse_strain,C57BL
