gene_symbol,Mapkap1
parameter_name,Coat - color - abdomen
analysis_id,v12nm87oq0g990f
mouse_life_stage,E15.5
gene_accession_id,MGI:2444554
mouse_strain,C57BL
pvalue,0.4016629
parameter_id,JAXLA_CSD_007_001
