analysis_id,z381z3g53f73p83
parameter_id,IMPC_HEM_008_001
gene_symbol,Orc2
mouse_life_stage,E9.5
parameter_name,Platelet count
pvalue,0.261798
gene_accession_id,MGI:1328306
mouse_strain,C57BL
