mouse_strain,129SV
analysis_id,v8w2osh06eh984p
parameter_name,Number of centre entries
gene_symbol,Cntfr
mouse_life_stage,Early adult
parameter_id,ESLIM_007_001_015
pvalue,0.654044
gene_accession_id,MGI:99605
