analysis_id,759nlxx20w2bujb
parameter_id,IMPC_HEM_029_001
gene_accession_id,MGI:2140475
gene_symbol,AU040320
mouse_life_stage,Middle aged adult
pvalue,0.570714
parameter_name,Neutrophil differential count
mouse_strain,C57BL
