analysis_id,1pqnq0c4j831ala
mouse_strain,C57BL
pvalue,0.827105
mouse_life_stage,Late adult
parameter_name,Distance travelled - total
gene_accession_id,MGI:109356
gene_symbol,Snap23
parameter_id,IMPC_OFD_020_001
