parameter_name,Caudal processes
gene_symbol,Tatdn3
pvalue,0.4251875
analysis_id,2wx29hpn752l671
gene_accession_id,MGI:1916222
parameter_id,IMPC_XRY_067_001
mouse_strain,C57BL
mouse_life_stage,Early adult
