gene_symbol,Ahctf1
analysis_id,56h4myjofdo3p9a
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1915033
parameter_id,ESLIM_016_001_003
parameter_name,Haemoglobin
pvalue,0.2596702
