analysis_id,39378l731z07z60
parameter_name,Total NK cells - % of CD45+
mouse_life_stage,Late adult
pvalue,0.1632511
gene_symbol,Hpca
mouse_strain,C57BL
parameter_id,MGP_IMM_033_001
gene_accession_id,MGI:1336200
