analysis_id,pp0l6x96tdjo59b
mouse_strain,C57BL
gene_symbol,Ints7
gene_accession_id,MGI:1924315
mouse_life_stage,Early adult
parameter_id,IMPC_DXA_009_001
pvalue,0.7363238
parameter_name,Fat/Body weight
