analysis_id,3rxz172gi50p1t3
gene_symbol,Gja10
parameter_name,Resting Treg cells - % of CD45+
parameter_id,MGP_MLN_071_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1339969
pvalue,0.6515082
