analysis_id,26567ko0n0h4t29
mouse_strain,C57BL
parameter_name,Neutrophil differential count
pvalue,0.9659592
gene_symbol,Trp53rkb
parameter_id,IMPC_HEM_029_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1914050
