analysis_id,47n768mhtsfq117
parameter_id,JAX_LDT_005_001
mouse_strain,C57BL
pvalue,0.06253073
parameter_name,Time mobile dark side
mouse_life_stage,Early adult
gene_accession_id,MGI:891989
gene_symbol,Npbwr1
