analysis_id,5333645h0lp7295
gene_accession_id,MGI:2685053
mouse_strain,C57BL
pvalue,0.8543298
parameter_id,IMPC_GRS_009_001
mouse_life_stage,Early adult
parameter_name,Forelimb and hindlimb grip strength measurement mean
gene_symbol,Ntmt2
