gene_symbol,Hrnr
gene_accession_id,MGI:3046938
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.6769762
parameter_name,T cells - % of CD45+
parameter_id,MGP_BMI_019_001
analysis_id,y240j6910125o37
