gene_symbol,Hpca
parameter_id,IMPC_OFD_018_001
mouse_strain,C57BL
analysis_id,wj90x4kz1g8472q
parameter_name,Latency to center entry
pvalue,0.3810418
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:1336200
