analysis_id,5726c0vs1325eli
pvalue,0.7889481
mouse_strain,C57BL
parameter_name,Tremor
gene_symbol,Zmynd19
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_030_001
gene_accession_id,MGI:1914437
