gene_symbol,Casq1
mouse_life_stage,Early adult
parameter_name,Haemoglobin
parameter_id,ESLIM_016_001_003
pvalue,0.6812348
analysis_id,w22oxvc4e053y65
gene_accession_id,MGI:1309468
mouse_strain,C57BL
