analysis_id,p269693lrgy7384
parameter_name,% Freezing duration pre-cue-2
parameter_id,ICS_FEA_019_001
mouse_strain,C57BL
pvalue,0.803087
mouse_life_stage,Early adult
gene_symbol,Ssr2
gene_accession_id,MGI:1913506
