gene_symbol,Abo
analysis_id,fq0c8n1i7axo85e
gene_accession_id,MGI:2135738
mouse_strain,C57BL
pvalue,0.8097218
parameter_id,ESLIM_011_001_009
mouse_life_stage,Early adult
parameter_name,PP3 + pulse startle magnitude
