parameter_id,IMPC_HEM_008_001
parameter_name,Platelet count
gene_accession_id,MGI:2385884
analysis_id,o1196dkk31h88x9
gene_symbol,Ddx27
mouse_strain,129SV
mouse_life_stage,Early adult
pvalue,0.4047247
